source,target,transaction_type,amount,hash,timeStamp,label,tokenSymbol,contractAddress
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x23e3cef04a133293c6a7207d82af23c4ee2280e64ae069378d959f6e18da268b,1631314061,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0xc8846483cd617dd2a29b4a0f23181ccf1dcd2f1ac2346c75bdad0ed9baa5bb06,1631314066,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x9f4537d00f3a9dde89e0b2a9cbdc1ae2ebd3e9337aa8292d65b8216d3672fa9b,1631314131,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x9d6f5365f4cf0ce53f876afbae1196d475dd95ca0d5e1dbd2058c4223d89d861,1631314131,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0xc7225dd240dd5d7dfffe89305a353d681728eed6a283464fcb52fa60041ede43,1631314180,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x4018ccef3da0fef599a15a37e885e901cba357bb6f5cfc0eb5e74baa6cfaa4b7,1631314278,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x1be79bc49a987b3ee69cb9eb29c1132452df7cf1c0c11ee16459bb9fb62818d0,1631314278,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0xdb471080c5fb486b997ecc422e7edf516736975ef1e16ef44c20f5c06e2c2ec5,1631314278,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0xc03417ea83e6e8d5d1926ed26587cc02811907b07fd788ec0ad37b30af1d40d3,1631314323,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x8ad8e54c2e3b8b42c9eb51465d6ab01a548011a14e220cc3cfc59d012bbd1bfe,1631314323,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x49cb75634a5518300a583e28e81d34186cb1ad88f58789e1d3ce8e29823506ab,1631314358,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0xf1cf0a323ddf94d8141caa07bfb53ed33258ca96cfe76c82684461e585057137,1631314358,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x0a9501cf5251903707ed405c10e3906cd18c13364d28d0694402b50d63e13180,1631314425,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x2708697f9283be8e4a07e5a0a7edffc85cd444d1e4263e318eb9cab610c25f5f,1631314425,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0x40256f3ddf2180abc2e09e97430057fe93b879540b7e5b144ad2c029bf3baafa,1631314505,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,10.0,0x27933cfb1363414fecff024248abe676f9480b3b71f02d176b81334a8a891672,1631314721,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0xf4b2ba78b248aa9603a03c30490f2a41c4646f7fa5a17867ab80f54519a2b83d,1631314853,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,100.0,0xe8bcd2e74e1bc07bd9a3a33d0353cb3fc925995c1e2f8b9174a192b6cb569c6a,1631314963,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,10.0,0x2ac44fc37eb3d5f682b4f773994c2cfa1642d013b49c4a77ce642d0ecfb0cdf3,1631314963,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,1.0,0xf8503b1657d8117993f5db463d6d01e029f8bb9f60b5b9a11d8840ec34b476c9,1631314991,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,1.0,0x39d4acc4dba3c0d8a6b21634f3488cf434b28d005c4a92463dbdefedd29ffcae,1631315014,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,normal_eth,1.0,0x6679b6229c2ca1e4d276eb0ebcfa5525ff73baa0690b372037838c9428c4009d,1631315046,candidate_layering,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x6c6bc977e13df9b0de53b251522280bb72383700,erc20,2834436.771707508,0x263aab85319d77ed8e7b154504290030f7451f71e74bd5e8223b2bcd0f814f85,1631311387,candidate_layering,DAI,0x6b175474e89094c44da98b954eedeac495271d0f
